iter	RMSE
0	8.784304218
1	8.718911179
2	8.675618397
3	8.637491373
4	8.584741103
5	8.552425933
6	8.512836752
7	8.466685748
8	8.403198167
9	8.34856668
10	8.315355247
11	8.286144084
12	8.237528519
13	8.181772135
14	8.138407823
15	8.105065627
16	8.081425723
17	8.055432031
18	8.018004441
19	7.97761899
20	7.955554916
21	7.9017493
22	7.8675524
23	7.842257077
24	7.820432726
25	7.801793795
26	7.77433732
27	7.73681263
28	7.713644016
29	7.687261767
30	7.66733656
31	7.654181225
32	7.628607197
33	7.601224245
34	7.575207936
35	7.553118539
36	7.529966859
37	7.498993781
38	7.477908382
39	7.447717434
40	7.421978682
41	7.408292953
42	7.381719258
43	7.369553821
44	7.351812954
45	7.320189712
46	7.307788238
47	7.297898202
48	7.270894012
49	7.252361452
50	7.240347519
51	7.232191243
52	7.222458755
53	7.203534273
54	7.189434589
55	7.167366692
56	7.147854584
57	7.13205586
58	7.119604636
59	7.105958648
60	7.093698531
61	7.071897433
62	7.051794349
63	7.037495122
64	7.022336115
65	7.015540238
66	6.996137451
67	6.980525126
68	6.972442078
69	6.962186716
70	6.947440265
71	6.938198195
72	6.927481453
73	6.916714307
74	6.913510923
75	6.889028498
76	6.876408916
77	6.864937115
78	6.850795351
79	6.841939879
80	6.828392217
81	6.817691178
82	6.811673825
83	6.793699021
84	6.785084436
85	6.776845433
86	6.767559695
87	6.757547106
88	6.737074009
89	6.722052845
90	6.712804373
91	6.704098862
92	6.682402173
93	6.676622693
94	6.661307978
95	6.650451383
96	6.64414545
97	6.631972484
98	6.618127099
99	6.608636583
100	6.592421505
101	6.584559023
102	6.574446207
103	6.564183133
104	6.556732572
105	6.547643052
106	6.537682852
107	6.534369325
108	6.527861743
109	6.519154306
110	6.510880943
111	6.498841191
112	6.491784563
113	6.490594201
114	6.487346513
115	6.483630797
116	6.467287384
117	6.459131251
118	6.450372498
119	6.433592995
120	6.427367039
121	6.415568934
122	6.410240035
123	6.400901868
124	6.390384381
125	6.381129849
126	6.37310765
127	6.369229776
128	6.364421693
129	6.3544663
130	6.348436543
131	6.344556198
132	6.340849012
133	6.329112997
134	6.323967601
135	6.316966356
136	6.299432375
137	6.290520627
138	6.286861571
139	6.277512782
140	6.275864471
141	6.266526197
142	6.256419458
143	6.248389735
144	6.241279818
145	6.238895782
146	6.23051493
147	6.21964436
148	6.214666916
149	6.209484408
150	6.20046953
151	6.190569851
152	6.188388
153	6.183452266
154	6.17123213
155	6.163640328
156	6.159552861
157	6.156834492
158	6.154137997
159	6.147143314
160	6.139749187
161	6.135426473
162	6.132520343
163	6.122151987
164	6.117300151
165	6.108597697
166	6.106826097
167	6.09788737
168	6.090743925
169	6.081798646
170	6.073866098
171	6.06442751
172	6.062330027
173	6.052270485
174	6.042979138
175	6.042558558
176	6.039694929
177	6.02986999
178	6.025008899
179	6.019129837
180	6.014312614
181	6.010711557
182	6.006564202
183	5.999135553
184	5.994767472
185	5.992113984
186	5.988265729
187	5.984603233
188	5.982647163
189	5.972570491
190	5.96674772
191	5.960092581
192	5.956792235
193	5.947125109
194	5.94047421
195	5.937454096
196	5.934985533
