iter	Passed	Remaining
0	1	1971
1	3	1978
2	5	1833
3	7	1762
4	8	1706
5	9	1608
6	11	1573
7	13	1634
8	14	1624
9	16	1610
10	17	1608
11	19	1604
12	21	1607
13	22	1596
14	24	1591
15	25	1585
16	27	1588
17	29	1599
18	30	1593
19	32	1589
20	34	1586
21	35	1575
22	36	1570
23	38	1566
24	39	1554
25	41	1549
26	43	1565
27	44	1560
28	46	1554
29	47	1548
30	49	1542
31	51	1543
32	52	1543
33	54	1542
34	55	1536
35	57	1534
36	59	1543
37	61	1544
38	62	1541
39	64	1538
40	65	1536
41	67	1532
42	68	1530
43	70	1529
44	72	1529
45	73	1534
46	75	1530
47	76	1526
48	78	1520
49	79	1516
50	81	1512
51	82	1507
52	84	1503
53	85	1499
54	87	1498
55	89	1507
56	91	1512
57	93	1510
58	94	1509
59	96	1508
60	97	1506
61	99	1503
62	100	1499
63	103	1506
64	104	1504
65	105	1499
66	107	1495
67	108	1492
68	110	1488
69	111	1484
70	113	1479
71	114	1475
72	115	1471
73	118	1477
74	119	1469
75	120	1467
76	122	1467
77	123	1464
78	125	1462
79	126	1459
80	128	1457
81	130	1455
82	131	1457
83	134	1461
84	135	1454
85	135	1444
86	137	1439
87	138	1436
88	140	1433
89	141	1430
90	142	1427
91	144	1427
92	146	1424
93	148	1427
94	149	1427
95	151	1426
96	153	1424
97	154	1422
98	156	1421
99	157	1419
100	159	1417
101	160	1415
102	162	1414
103	164	1415
104	165	1412
105	167	1409
106	168	1404
107	169	1402
108	171	1399
109	172	1397
110	174	1394
111	175	1391
112	177	1389
113	178	1385
114	179	1384
115	181	1382
116	182	1381
117	184	1377
118	185	1376
119	187	1375
120	189	1374
121	190	1374
122	192	1374
123	194	1373
124	195	1371
125	197	1370
126	199	1369
127	200	1368
128	202	1366
129	203	1364
130	205	1362
131	207	1363
132	209	1363
133	210	1362
134	212	1362
135	214	1361
136	215	1359
137	217	1357
138	221	1371
139	223	1370
140	224	1369
141	226	1366
142	227	1364
143	229	1361
144	230	1359
145	232	1357
146	233	1355
147	235	1355
148	237	1353
149	238	1351
150	240	1350
151	241	1349
152	243	1345
153	244	1343
154	246	1342
155	247	1339
156	249	1338
157	251	1338
158	252	1336
159	254	1334
160	255	1331
161	257	1329
162	258	1327
163	259	1325
164	261	1322
165	262	1320
166	264	1319
167	266	1320
168	268	1319
169	269	1317
170	271	1315
171	272	1313
172	274	1310
173	275	1308
174	277	1306
175	277	1299
176	279	1298
177	281	1298
178	282	1297
179	284	1295
180	286	1294
181	287	1291
182	288	1289
183	289	1286
184	291	1284
185	293	1282
186	295	1283
187	296	1281
188	298	1280
189	300	1279
190	301	1277
191	303	1276
192	304	1274
193	306	1272
194	307	1270
195	309	1268
196	311	1268
197	312	1266
198	314	1264
199	315	1262
200	317	1260
201	318	1258
202	319	1256
203	321	1254
204	323	1252
205	324	1251
206	326	1250
207	327	1248
208	329	1246
209	330	1244
210	332	1242
211	333	1240
212	335	1239
213	336	1236
214	338	1235
215	340	1235
216	341	1233
217	343	1230
218	344	1228
219	345	1226
220	347	1224
221	348	1222
222	350	1220
223	351	1218
224	353	1216
225	355	1216
226	356	1214
227	358	1212
228	359	1210
229	361	1209
230	362	1208
231	364	1206
232	365	1204
233	367	1202
234	369	1201
235	370	1200
236	372	1198
237	373	1196
238	375	1194
239	376	1192
240	378	1190
241	379	1188
242	381	1186
243	382	1184
244	383	1183
245	386	1183
246	387	1181
247	389	1179
248	390	1178
249	392	1176
250	393	1175
251	395	1173
252	396	1171
253	398	1169
254	399	1167
255	401	1165
256	402	1164
257	404	1162
258	405	1160
259	407	1158
260	408	1156
261	409	1154
262	411	1152
263	412	1150
264	414	1149
265	415	1147
266	417	1146
267	418	1144
268	420	1142
269	421	1140
270	423	1138
271	424	1137
272	426	1135
273	427	1133
274	429	1132
275	431	1131
276	432	1129
277	434	1127
278	435	1125
279	437	1124
280	438	1122
281	440	1120
282	441	1119
283	443	1117
284	445	1116
285	446	1115
286	448	1113
287	449	1112
288	451	1110
289	452	1108
290	454	1107
291	455	1105
292	457	1103
293	459	1102
294	461	1102
295	462	1100
296	464	1099
297	465	1097
298	467	1095
299	468	1093
300	470	1092
301	471	1090
302	473	1089
303	475	1088
304	477	1087
305	479	1086
306	480	1084
307	482	1083
308	483	1081
309	485	1079
310	486	1077
311	487	1075
312	490	1076
313	491	1074
314	493	1073
315	494	1071
316	496	1069
317	497	1067
318	499	1065
319	500	1063
320	502	1062
321	503	1060
322	506	1061
323	507	1059
324	509	1057
325	510	1056
326	512	1054
327	513	1052
328	515	1050
329	516	1048
330	517	1046
331	519	1045
332	521	1044
333	522	1042
334	524	1040
335	525	1039
336	527	1037
337	528	1035
338	530	1033
339	531	1031
340	532	1029
341	534	1028
342	536	1028
343	538	1026
344	539	1024
345	541	1023
346	542	1021
347	544	1019
348	546	1018
349	547	1017
350	549	1015
351	551	1014
352	552	1013
353	554	1011
354	555	1010
355	557	1008
356	559	1006
357	560	1005
358	562	1003
359	563	1002
360	565	1001
361	567	1000
362	569	998
363	570	997
364	572	995
365	573	994
366	575	993
367	577	992
368	579	990
369	581	989
370	582	988
371	584	986
372	586	985
373	587	983
374	589	981
375	590	980
376	592	978
377	593	977
378	595	976
379	597	974
380	599	973
381	600	971
382	602	970
383	603	968
384	605	966
385	606	964
386	608	963
387	609	961
388	611	960
389	613	958
390	614	957
391	616	955
392	617	953
393	619	952
394	620	950
395	621	948
396	623	946
397	624	945
398	626	944
399	628	942
400	629	940
401	631	939
402	632	937
403	634	935
404	635	934
405	637	932
406	638	930
407	640	929
408	642	928
409	643	926
410	645	924
411	646	922
412	648	921
413	649	919
414	651	917
415	652	916
416	653	914
417	655	913
418	657	911
419	659	910
420	660	908
421	661	906
422	663	904
423	664	903
424	666	901
425	667	899
426	669	897
427	671	896
428	672	895
429	674	893
430	675	891
431	677	890
432	678	888
433	680	886
434	681	885
435	682	883
436	684	881
437	686	880
438	688	879
439	689	877
440	691	875
441	692	874
442	694	872
443	695	871
444	697	869
445	698	867
446	700	866
447	702	865
448	703	863
449	705	861
450	706	860
451	708	858
452	709	856
453	710	854
454	712	853
455	713	851
456	715	850
457	717	848
458	718	847
459	720	845
460	722	844
461	723	842
462	725	841
463	726	839
464	728	837
465	729	836
466	731	835
467	733	833
468	734	831
469	736	830
470	737	828
471	739	826
472	740	825
473	741	823
474	743	821
475	745	820
476	747	819
477	748	817
478	750	816
479	751	814
480	753	812
481	754	811
482	756	809
483	757	807
484	759	806
485	760	804
486	762	803
487	764	801
488	765	799
489	766	798
490	768	796
491	769	794
492	771	792
493	772	791
494	773	789
495	775	787
496	777	786
497	779	785
498	780	783
499	782	782
500	783	780
501	784	778
502	786	776
503	787	774
504	788	773
505	790	771
506	792	770
507	793	768
508	794	766
509	796	764
510	797	763
511	798	761
512	800	759
513	801	757
514	802	756
515	804	754
516	806	753
517	808	752
518	809	750
519	811	748
520	812	747
521	814	745
522	815	744
523	817	742
524	818	740
525	820	739
526	822	738
527	824	737
528	826	735
529	827	734
530	829	732
531	830	730
532	832	729
533	834	727
534	836	726
535	838	725
536	839	724
537	841	722
538	842	720
539	844	719
540	845	717
541	847	716
542	848	714
543	850	713
544	852	712
545	854	710
546	856	709
547	857	707
548	859	705
549	860	704
550	862	702
551	864	701
552	866	700
553	868	698
554	869	697
555	871	695
556	872	694
557	874	692
558	875	690
559	877	689
560	878	687
561	880	686
562	882	685
563	884	683
564	885	681
565	887	680
566	888	678
567	890	677
568	891	675
569	893	673
570	894	672
571	896	670
572	898	669
573	899	667
574	900	665
575	902	664
576	903	662
577	905	661
578	906	659
579	908	657
580	909	655
581	911	654
