DEPREAMMD	DEPREAMTVD	ROPA_AVG	WOB_AVG	TORQ_AVG	SURFRPM_AVG	MOTORRPM_AVG	BITRPM_AVG	SPP_AVG	CHKP_AVG	CEMENTP_AVG	SPM01_AVG	SPM02_AVG	SPM03_AVG	PITACTIVE_AVG	FLOWIN_AVG	FLOWOUTP_AVG	DIN_AVG	TIN_AVG	DOUT_AVG	TOUT_AVG
m	m	m/h	kLbf	kLbf.ft	rpm	rpm	rpm	Psi	Psi	Psi	Stk/min	Stk/min	Stk/min	bbl	gal/min	%	ppg	°C	ppg	°C
737.5	737.49	36.99	186.02	1	40	0	40.3	690	0	0	58	62	0	273.629	598	1.62	11.03	33.767	0	29.4
737.75	737.74	30.8	186.06	1	40	0	40.2	691	0	0	58	62	0	273.707	598	1.81	11.03	33.769	5.21	34.2
738	737.99	26.16	186.07	1	40	0	40.2	693	0	0	58	62	0	274.225	599	2.19	11.03	33.775	2.4	32.1
738.25	738.24	27.22	186.07	1	40	0	40.2	693	0	0	58	62	0	274.947	598	1.87	11.03	33.779	7.17	37.5
738.5	738.49	23.88	186.07	1	40	0	40.2	693	0	0	58	62	0	274.737	598	1.77	11.02	33.777	4.83	33.6
738.75	738.74	24.27	186.09	1	40	0	40.2	694	0	0	58	62	0	274.167	599	2.09	11.02	33.775	4.77	34.8
739	738.99	21.68	137.87	1	40	0	40.2	696	0	0	58	62	0	269.829	598	2.05	11.03	33.777	7.14	37.4
739.25	739.24	0.41	9.91	2	40	0	40.1	694	0	0	58	62	0	267.298	598	2.04	11.03	33.781	4.82	33.6
739.5	739.49	0.97	9.85	3	46	0	45.5	660	0	0	58	59	0	260.327	586	2.14	11.02	33.809	4.75	33.9
739.75	739.74	17.25	7.44	5	60	0	59.8	590	0	0	59	52	0	251.566	553	2.81	11.02	33.869	7.07	36.3
740	739.99	22.99	0.12	3	60	0	60	637	0	0	59	53	0	251.375	561	2.85	11.02	33.87	0	29.4
740.25	740.24	20.71	0.12	1	60	0	60.1	687	0	0	59	58	0	250.652	584	2.52	11.02	33.869	7.1	36.5
740.5	740.49	22.43	0.08	1	60	0	60.3	689	0	0	59	61	0	249.775	601	2.26	11.02	33.869	3.53	32.9
740.75	740.74	24.89	0.09	1	58	0	58.1	472	0	0	59	62	0	257.552	604	2.18	11.02	33.872	7.23	37.1
741	740.99	14.65	0.01	1	58	0	58	619	0	0	59	62	0	260.205	604	2.47	11.02	33.871	7.88	39.3
741.25	741.24	18.14	0	1	58	0	57.9	655	0	0	58	61	0	260.211	595	2.56	11.02	33.871	8.07	40.1
741.5	741.49	26.64	0	1	58	0	57.9	517	0	0	59	62	0	257.922	604	2.01	11.02	33.867	8.01	39.5
741.75	741.74	15.19	0	1	58	0	58	549	0	0	59	62	0	246.403	606	2.98	11.02	33.87	7.83	38.2
742	741.99	15.27	7.69	1	58	0	58	663	0	0	59	61	0	244.669	599	2.36	11.02	33.87	7.52	37
742.25	742.24	17.25	9.72	1	58	0	58.3	762	0	0	59	61	0	243.896	599	2.43	11.02	33.868	7.3	36.6
742.5	742.49	16.16	9.77	1	58	0	58.4	775	0	0	59	62	0	246.183	602	2.55	11.03	33.873	7.24	36.7
742.75	742.74	16.94	9.72	1	58	0	58.4	750	0	0	58	61	0	247.971	597	2.22	11.02	33.875	7.2	36.7
743	742.99	17.01	9.66	1	58	0	58.4	736	0	0	58	62	0	249.878	600	2.45	11.02	33.878	7.18	36.8
743.25	743.24	17.28	9.67	1	58	0	58.4	730	0	0	59	62	0	251.049	601	2.48	11.02	33.877	0	28.3
743.5	743.49	17.25	9.67	1	58	0	58.4	724	0	0	59	62	0	253.502	603	2.47	11.02	33.876	7.11	36.8
743.75	743.74	17.25	9.65	1	58	0	58.4	725	0	0	59	62	0	256.288	603	2.39	11.02	33.876	0	28.3
744	743.99	12.69	9.71	1	58	0	58.3	735	0	0	59	62	0	261.161	602	2.4	11.02	33.877	7.38	37.4
744.25	744.25	28.07	9.86	1	58	0	58.3	760	0	0	59	62	0	257.868	602	2.26	11.02	33.878	0	28.4
744.5	744.49	12.21	9.97	1	58	0	58.3	768	0	0	59	62	0	251.873	601	2.37	11.02	33.878	7.21	36.9
744.75	744.74	18.14	9.91	1	58	0	58.2	784	0	0	59	62	0	252.556	604	2.66	11.02	33.879	0	28.3
745	744.99	25.89	9.92	1	58	0	58	902	0	0	62	64	0	252.006	631	2.61	11.02	33.88	8.37	37
745.25	745.24	26.39	9.85	1	58	0	57.9	996	0	0	66	69	0	250.694	676	3.01	11.02	33.879	0	28.3
