MD (m),Interval__unidentified (m),Drilling_hour__unidentified (h),Drilling_time__unidentified (min),ROP (m/h),WOB (klbs),BIT_RPM (rpm),TORQUE (kLbf.ft),Si (%),Shale (%),Dolomite (%),Limestone (%),BIT_DIAMETER (in),DOC (in/rev),Mu,MSE (ksi),cluster,MSE_min (ksi)
5311.2,0.2,0.1,6.2,1.96,0.0022342499999999997,45.323,0.46466406000000005,51.18901969,18.35180089,3.693264843,24.5293876,8.5,0.02837609896373438,880.8275528700909,71.39753053970564,2,18.322832098700538
5311.4,0.41,0.2,5.6,1.99,0.00332325,273.065,4.44012324,51.18901969,18.35180089,3.693264843,24.5293876,8.5,0.004781919994628873,5658.685876777252,4047.747584718573,2,18.322832098700538
5311.6,0.6,0.3,5.8,1.99,0.0028035,273.065,4.4106207600000005,51.18901969,18.35180089,3.693264843,24.5293876,8.5,0.004781919994628873,6663.198202247192,4020.8493905978785,2,18.322832098700538
5311.8,0.8,0.4,4.5,2.12,0.0022275,273.065,4.44012324,51.18901969,18.35180089,3.693264843,24.5293876,8.5,0.005094306727946338,8442.302060606062,3799.531519587104,2,18.322832098700538
5312.0,1.0,0.4,4.0,2.26,0.00310725,270.065,4.4843769600000005,53.24393211,17.73741358,4.039583596,22.8118297,8.5,0.005491050055850751,6112.367965242578,3560.1438201395868,2,18.322832098700538
5312.2,1.2,0.5,5.0,2.28,0.00440775,268.065,4.565508780000001,53.24393211,17.73741358,4.039583596,22.8118297,8.5,0.0055809740174957555,4386.880490045943,3566.1607962106095,2,18.322832098700538
5312.4,1.4,0.6,5.2,2.29,0.00441675,268.065,4.565508780000001,53.24393211,17.73741358,4.039583596,22.8118297,8.5,0.005605451973712843,4377.941355068773,3550.5882040520432,2,18.322832098700538
5312.6,1.6,0.7,4.3,2.34,0.00422325,268.065,4.62451374,53.24393211,17.73741358,4.039583596,22.8118297,8.5,0.005727841754798276,4637.702205647311,3519.6275839892887,2,18.322832098700538
5312.8,1.8,0.8,4.6,2.37,0.004491,268.065,4.6835187000000005,53.24393211,17.73741358,4.039583596,22.8118297,8.5,0.0058012756234495375,4416.8513026052115,3519.4159562308923,2,18.322832098700538
5313.0,2.0,0.8,4.3,2.41,0.0042975,268.065,4.690894320000001,62.86031309,30.84837209,0.276234214,6.015080606,8.5,0.005899187448317884,4622.994094240838,3466.4520869418175,0,11.912269553328606
5313.2,2.2,0.9,3.6,2.47,0.0046619999999999995,268.208,4.7203968000000005,62.86031309,30.84837209,0.276234214,6.015080606,8.5,0.006042831620732168,4288.345945945946,3405.336912993131,0,11.912269553328606
5313.4,2.4,1.0,4.0,2.51,0.004891499999999999,268.065,4.89003606,62.86031309,30.84837209,0.276234214,6.015080606,8.5,0.00614396701048875,4234.02656853726,3469.647544178112,0,11.912269553328606
5313.6,2.6,1.0,4.1,2.53,0.0043402499999999995,268.065,4.76465052,62.86031309,30.84837209,0.276234214,6.015080606,8.5,0.006192922922922923,4649.431788491447,3353.955230219961,0,11.912269553328606
5313.8,2.8,1.1,3.8,2.57,0.004657499999999999,268.065,4.749899280000001,62.86031309,30.84837209,0.276234214,6.015080606,8.5,0.006290834747791269,4319.317333333335,3291.5337335171102,0,11.912269553328606
5314.0,3.0,1.1,3.0,2.63,0.0043335000000000005,268.208,4.779401760000001,67.29792241,26.89711671,0.199534287,5.605426594,8.5,0.006434270106285668,4671.090841121495,3238.1446562996202,0,11.912269553328606
5314.2,3.2,1.2,4.0,2.65,0.00490275,267.065,4.904787300000001,67.29792241,26.89711671,0.199534287,5.605426594,8.5,0.006510947085291346,4237.0540614961,3283.9640489383987,0,11.912269553328606
5314.4,3.4,1.3,3.8,2.68,0.00435825,268.065,4.816279860000001,67.29792241,26.89711671,0.199534287,5.605426594,8.5,0.006560092266179224,4680.401941146103,3200.5441358902376,0,11.912269553328606
5314.6,3.6,1.3,4.8,2.67,0.00413325,268.065,4.668767460000001,67.29792241,26.89711671,0.199534287,5.605426594,8.5,0.006535614309962136,4784.03274904736,3114.1375833196166,0,11.912269553328606
5314.8,3.8,1.4,4.4,2.67,0.00401625,268.065,4.61713812,67.29792241,26.89711671,0.199534287,5.605426594,8.5,0.006535614309962136,4868.954352941177,3079.699633008618,0,11.912269553328606
5315.0,4.0,1.5,3.6,2.7,0.0046619999999999995,268.065,4.80890424,66.87286148,24.30324084,0.186007292,8.637890389,8.5,0.006609048178613397,4368.752432432433,3171.9733848211285,0,11.912269553328606
5315.2,4.2,1.5,3.2,2.73,0.004311,265.065,4.668767460000001,66.87286148,24.30324084,0.186007292,8.637890389,8.5,0.006758114236130761,4586.778789144051,3011.6114696602363,0,11.912269553328606
5315.4,4.4,1.6,4.2,2.74,0.004464,263.065,4.65401622,66.87286148,24.30324084,0.186007292,8.637890389,8.5,0.006834437243013451,4415.575161290322,2968.5716859958284,0,11.912269553328606
5315.6,4.6,1.7,3.0,2.78,0.00411075,263.065,4.668767460000001,66.87286148,24.30324084,0.186007292,8.637890389,8.5,0.006934210049480799,4810.217931034484,2935.1304016899726,0,11.912269553328606
