iter	Passed	Remaining
0	1	1706
1	3	1714
2	5	1671
3	8	2038
4	14	2951
5	16	2702
6	18	2580
7	20	2542
8	23	2581
9	25	2537
10	31	2824
11	33	2771
12	36	2752
13	40	2867
14	42	2799
15	44	2722
16	45	2654
17	47	2592
18	49	2566
19	51	2503
20	56	2617
21	58	2589
22	60	2578
23	62	2540
24	64	2499
25	66	2472
26	67	2437
27	69	2417
28	71	2387
29	73	2363
30	74	2343
31	76	2311
32	77	2283
33	79	2256
34	81	2235
35	82	2210
36	84	2199
37	86	2180
38	87	2160
39	89	2150
40	91	2131
41	92	2112
42	94	2093
43	95	2076
44	97	2059
45	99	2055
46	100	2045
47	102	2030
48	104	2023
49	105	2007
50	106	1989
51	108	1975
52	109	1959
53	111	1945
54	112	1932
55	114	1931
56	116	1922
57	117	1914
58	119	1907
59	120	1895
60	122	1883
61	123	1873
62	125	1862
63	126	1850
64	127	1840
65	129	1833
66	131	1828
67	132	1821
68	134	1819
69	136	1810
70	137	1800
71	139	1791
72	140	1782
73	141	1773
74	143	1765
75	144	1760
76	146	1754
77	147	1747
78	149	1744
79	150	1735
80	152	1727
81	153	1720
82	155	1713
83	156	1705
84	157	1695
85	158	1685
86	160	1680
87	161	1675
88	163	1670
89	165	1669
90	166	1663
91	167	1657
92	169	1650
93	170	1646
94	172	1647
95	174	1647
96	177	1650
97	179	1652
98	181	1648
99	182	1641
100	183	1637
101	185	1632
102	186	1626
103	188	1622
104	189	1618
105	191	1613
106	192	1607
107	194	1604
108	195	1599
109	197	1594
110	198	1588
111	199	1585
112	201	1581
113	202	1574
114	204	1572
115	205	1567
116	207	1562
117	208	1561
118	210	1556
119	211	1552
120	213	1548
121	214	1544
122	216	1540
123	217	1538
124	219	1535
125	220	1531
126	222	1527
127	223	1525
128	225	1521
129	226	1516
130	228	1513
131	229	1509
132	231	1505
133	232	1502
134	234	1500
135	235	1497
136	237	1494
137	239	1494
138	240	1490
139	242	1486
140	243	1482
141	244	1479
142	246	1475
143	247	1473
144	249	1470
145	250	1467
146	252	1465
147	254	1465
148	256	1462
149	257	1457
150	258	1453
151	259	1449
152	260	1444
153	262	1442
154	264	1442
155	266	1440
156	267	1438
157	269	1435
158	270	1432
159	272	1428
160	273	1425
161	274	1422
162	276	1420
163	278	1418
164	279	1416
165	281	1415
166	283	1415
167	285	1412
168	286	1408
169	287	1405
170	289	1402
171	290	1399
172	292	1396
173	293	1394
174	295	1391
175	295	1384
176	297	1383
177	299	1380
178	300	1378
179	301	1375
180	303	1372
181	304	1369
182	306	1368
183	308	1366
184	311	1370
185	312	1367
186	314	1365
187	315	1361
188	317	1360
189	318	1357
190	320	1357
191	322	1356
192	323	1354
193	326	1355
194	327	1352
195	329	1350
196	330	1347
197	332	1345
198	333	1342
199	335	1340
200	336	1339
201	338	1337
202	340	1336
203	342	1334
204	343	1332
205	344	1329
206	346	1327
207	347	1324
208	350	1324
209	351	1322
210	353	1320
211	354	1317
212	356	1316
213	357	1313
214	359	1310
215	360	1308
216	361	1305
217	363	1303
218	366	1305
219	367	1304
220	369	1302
221	371	1301
222	373	1299
223	374	1297
224	375	1294
225	377	1292
226	379	1293
227	381	1291
228	383	1290
229	385	1289
230	386	1287
231	388	1284
232	389	1281
233	390	1279
234	392	1276
235	393	1274
236	395	1272
237	396	1270
238	398	1268
239	400	1267
240	401	1264
241	402	1262
242	404	1259
243	405	1257
244	407	1255
245	408	1252
246	410	1251
247	411	1249
248	413	1246
249	415	1245
250	416	1242
251	417	1240
252	419	1238
253	420	1235
254	422	1233
255	423	1231
256	425	1229
257	426	1227
258	428	1225
259	430	1224
260	431	1222
261	433	1219
262	434	1217
263	435	1214
264	437	1212
265	438	1210
266	440	1209
267	442	1207
268	443	1205
269	445	1204
270	446	1202
271	448	1199
272	449	1197
273	450	1194
274	452	1192
275	454	1191
276	455	1189
277	457	1188
278	458	1186
279	460	1184
280	462	1182
281	463	1180
282	464	1177
283	466	1175
284	467	1173
285	469	1172
286	471	1170
287	472	1167
288	474	1166
289	475	1164
290	477	1162
291	478	1159
292	479	1157
293	481	1155
294	482	1153
295	484	1152
296	486	1150
297	487	1149
298	489	1148
299	491	1146
300	492	1144
301	494	1142
302	495	1140
303	497	1138
304	498	1137
305	500	1134
306	502	1133
307	504	1132
308	505	1130
309	507	1128
310	508	1126
311	509	1124
312	511	1122
313	512	1120
314	514	1118
315	516	1117
316	517	1115
317	519	1113
318	520	1111
319	522	1109
320	523	1107
321	525	1105
322	526	1103
323	527	1101
324	529	1099
325	531	1098
326	533	1098
327	534	1095
328	536	1094
329	538	1092
330	539	1090
331	540	1088
332	542	1086
333	544	1085
334	546	1083
335	547	1082
336	549	1081
337	550	1078
338	552	1077
339	553	1075
340	555	1072
341	556	1071
342	558	1069
343	560	1068
344	561	1066
345	563	1065
346	565	1063
347	566	1061
348	567	1059
349	569	1057
350	570	1055
351	572	1053
352	574	1052
353	575	1050
354	577	1048
355	579	1047
356	580	1045
357	581	1043
358	583	1041
359	584	1039
360	586	1037
361	587	1036
362	589	1034
363	591	1032
364	592	1030
365	594	1029
366	595	1027
367	597	1025
368	598	1024
369	600	1022
370	602	1020
371	603	1019
372	605	1017
373	606	1015
374	608	1014
375	610	1012
376	611	1010
377	613	1008
378	614	1007
379	616	1005
380	618	1004
381	620	1003
382	621	1001
383	623	1000
384	625	998
385	626	996
386	628	995
387	629	993
388	631	991
389	633	990
390	635	989
391	636	987
392	638	986
393	640	984
394	641	982
395	643	980
396	644	979
397	645	977
398	647	975
399	649	973
400	650	972
401	652	970
402	654	969
403	655	967
404	657	965
405	658	963
406	659	961
407	661	959
408	663	958
409	664	956
410	666	954
411	668	953
412	669	951
413	671	949
414	672	947
415	673	946
416	675	944
417	676	942
418	678	940
419	679	938
420	681	936
421	682	935
422	684	933
423	685	931
424	687	929
425	688	927
426	689	925
427	691	923
428	692	922
429	694	920
430	695	918
431	697	917
432	699	915
433	700	913
434	702	911
435	703	909
436	704	908
437	706	906
438	707	904
439	709	902
440	711	901
441	713	900
442	714	898
443	715	896
444	717	894
445	718	892
446	720	890
447	721	889
448	723	888
449	725	886
450	726	884
451	728	883
452	730	881
453	731	879
454	732	877
455	734	875
456	735	874
457	737	872
458	739	871
459	740	869
460	742	868
461	744	866
462	745	865
463	747	863
464	748	861
465	750	859
466	752	859
467	754	857
468	755	855
469	757	854
470	758	852
471	760	850
472	761	848
473	763	846
474	764	845
475	766	843
476	768	842
477	769	840
478	771	838
479	772	837
480	774	835
481	775	833
482	776	831
483	778	829
484	779	827
485	781	826
486	783	825
487	785	823
488	786	822
489	788	820
490	789	818
491	791	817
492	792	815
493	795	814
494	796	812
495	798	811
496	799	809
497	801	807
498	803	806
499	804	804
500	805	802
501	807	800
502	808	799
503	810	797
504	812	796
505	813	794
506	815	792
507	817	791
508	818	789
509	819	787
510	821	785
511	822	783
512	823	782
513	825	780
514	826	778
515	828	776
516	830	775
517	831	773
518	833	772
519	834	770
520	835	768
521	837	766
522	838	764
523	839	762
524	841	761
525	843	759
526	844	758
527	846	756
528	848	755
529	849	753
530	850	751
531	851	749
532	853	747
533	854	745
534	856	744
535	857	742
536	859	740
537	860	738
538	862	737
539	863	735
540	865	733
541	866	732
542	867	730
543	869	728
544	870	727
545	872	725
546	873	723
547	875	721
548	876	720
549	878	718
550	880	717
551	881	715
552	883	713
553	884	711
554	885	710
555	887	708
556	888	707
557	890	705
558	892	704
559	894	702
560	895	700
561	896	698
562	898	697
563	899	695
564	901	693
565	902	691
566	903	690
567	905	688
568	907	687
569	908	685
570	910	683
571	911	682
572	913	680
573	914	678
574	916	677
575	917	675
576	919	673
577	920	672
578	922	670
579	923	669
580	925	667
581	926	665
582	927	663
583	929	661
584	930	660
585	932	658
586	933	657
587	935	655
588	937	654
589	938	652
590	940	650
591	941	648
592	942	647
593	944	645
594	945	643
595	947	642
