DEPMD__m,WOB_AVG__tf,DEPTVD__m,ROPA_AVG__m/h,TORQ_AVG__kLbf.ft,SURFRPM_AVG__rpm,MOTORRPM_AVG__rpm,BITRPM_AVG__rpm,SPP_AVG__Psi,CHKP_AVG__Psi,CEMENTP_AVG__Psi,SPM01_AVG__Stk/min,SPM02_AVG__Stk/min,SPM03_AVG__Stk/min,PITACTIVE_AVG__bbl,FLOWIN_AVG__gal/min,FLOWOUTP_AVG__%,DIN_AVG__ppg,TIN_AVG__C,DOUT_AVG__ppg,TOUT_AVG__C,HP__hp,DOC__in/rev,MSE__ksi,Comments__TOC/TOP,well,cluster
2671,3.68,2536.87,54.78,4.54,48,0,48.0,676,0,0,61,59,0,228.554,514,24.95,11.69,38.025,11.69,34.7,41.49276466,0.748851706,8.200857921,TOC,,9
2687,1.31,2550.4,64.94,4.77,48,0,48.0,862,0,0,65,66,0,230.989,561,24.58,11.69,40.323,11.69,34.4,43.59482102,0.887740595,7.191203453,TOC,,6
2688,1.3,2551.26,64.3,4.74,48,0,48.0,865,0,0,70,71,0,229.125,602,23.81,11.69,40.254,11.7,34.5,43.32063976,0.878991689,7.216520831,TOC,,6
2689,1.3,2552.1,66.09,4.73,48,0,48.0,865,0,0,70,71,0,227.826,601,25.21,11.69,40.191,11.7,34.5,43.229246,0.903461286,7.007750173,TOC,,6
2690,1.3,2552.95,66.49,4.71,48,0,48.0,866,0,0,70,71,0,227.729,602,24.93,11.69,40.136,11.7,34.6,43.04645849,0.908929353,6.936663801,TOC,,6
2691,1.29,2553.79,61.92,4.73,48,0,48.0,866,0,0,70,71,0,227.538,604,25.24,11.69,40.09,11.7,34.6,43.229246,0.846456693,7.475834175,TOC,,6
2692,1.31,2554.64,59.1,4.71,48,0,48.0,1014,0,0,74,74,0,226.838,634,25.21,11.69,40.04,11.7,34.6,43.04645849,0.807906824,7.798015068,TOC,,6
2693,1.33,2555.49,34.39,4.66,48,0,48.0,1126,0,0,83,83,0,224.066,708,25.7,11.69,39.966,11.72,34.8,42.58948972,0.470117017,13.22336369,TOC,,6
2694,1.35,2556.34,37.59,4.62,48,0,48.0,1130,0,0,83,83,0,222.559,710,26.2,11.69,39.91,11.72,34.9,42.2239147,0.513861549,11.99950305,TOC,,6
2695,1.37,2557.19,38.46,4.64,48,0,48.0,1131,0,0,83,83,0,219.905,710,26.18,11.69,39.848,11.71,35,42.40670221,0.525754593,11.78060468,TOC,,6
2696,1.38,2558.04,42.82,4.65,48,0,48.0,1130,0,0,83,82,0,216.902,708,27.21,11.69,39.782,11.71,35.2,42.49809596,0.585356518,10.60968854,TOC,,6
2697,1.4,2558.89,53.13,4.73,48,0,48.0,1131,0,0,83,82,0,215.483,709,26.73,11.69,39.724,11.71,35.3,43.229246,0.726295932,8.708575866,TOC,,6
2698,1.42,2559.75,46.09,4.7,48,0,48.0,1131,0,0,83,82,0,215.63,708,26,11.69,39.677,11.7,35.3,42.95506474,0.630057962,9.967841738,TOC,,6
2699,1.43,2560.59,45.68,4.74,48,0,48.0,1132,0,0,83,82,0,215.649,708,26.53,11.69,39.666,11.69,35.4,43.32063976,0.624453193,10.14231202,TOC,,6
2700,1.45,2561.45,41.18,4.69,48,0,48.0,1131,0,0,83,83,0,215.595,708,26.18,11.69,39.664,11.7,35.4,42.86367098,0.562937445,11.12722843,TOC,,6
2701,1.46,2562.29,39.23,4.7,48,0,48.0,1132,0,0,83,83,0,215.195,710,26.98,11.69,39.64,11.69,35.4,42.95506474,0.536280621,11.70265291,TOC,,6
2702,1.48,2563.14,41.97,4.68,48,0,48.0,1132,0,0,83,83,0,215.158,709,26.06,11.69,39.631,11.69,35.3,42.77227723,0.573736877,10.8968847,TOC,,6
2703,1.5,2563.99,57.14,4.75,48,0,48.0,1132,0,0,83,83,0,215.177,710,26.97,11.69,39.648,11.69,35.4,43.41203351,0.781113298,8.139272026,TOC,,6
2704,1.5,2564.84,64.86,4.72,48,0,48.0,1134,0,0,83,83,0,214.776,709,27.26,11.69,39.667,11.69,35.5,43.13785225,0.886646982,7.132584009,TOC,,6
2705,1.5,2565.69,66.14,4.74,48,0,48.0,1136,0,0,83,83,0,215.165,710,26.17,11.69,39.687,11.69,35.5,43.32063976,0.904144794,7.025086166,TOC,,6
2706,1.51,2566.56,66.11,4.77,48,0,48.0,1134,0,0,83,83,0,214.895,709,26.78,11.69,39.696,11.69,35.6,43.59482102,0.903734689,7.072749765,TOC,,6
2707,1.5,2567.4,63.57,4.76,48,0,48.0,1134,0,0,83,83,0,215.1,710,26.56,11.69,39.707,11.69,35.6,43.50342727,0.869012467,7.337280423,TOC,,6
2708,1.5,2568.24,63.52,4.76,48,0,48.0,1134,0,0,83,83,0,214.97,709,25.8,11.69,39.724,11.69,35.7,43.50342727,0.868328959,7.343009357,TOC,,6
2709,1.5,2569.11,63.95,4.83,48,0,48.0,1133,0,0,83,82,0,214.957,708,26.72,11.69,39.744,11.69,35.7,44.14318355,0.87420713,7.40042727,TOC,,6
2710,1.49,2569.96,66.92,4.74,48,0,48.0,1134,0,0,83,83,0,214.778,709,26.99,11.69,39.787,11.69,35.8,43.32063976,0.914807524,6.943499373,TOC,,6
2711,1.49,2570.81,68.12,4.76,48,0,48.0,1134,0,0,83,83,0,214.509,709,29.08,11.69,39.808,11.69,35.7,43.50342727,0.931211724,6.850756973,TOC,,6
2712,1.48,2571.66,65.18,4.72,48,0,48.0,1135,0,0,83,83,0,215.04,709,27.34,11.69,39.822,11.69,35.7,43.13785225,0.891021435,7.097067672,TOC,,6
2713,1.48,2572.51,62.06,4.81,48,0,48.0,1135,0,0,83,83,0,214.475,709,26.44,11.69,39.852,11.69,35.8,43.96039604,0.848370516,7.591884707,TOC,,6
2714,1.48,2573.37,65.54,4.77,48,0,48.0,1135,0,0,83,83,0,214.422,710,25.45,11.69,39.875,11.69,35.8,43.59482102,0.895942695,7.132557812,TOC,,6
2715,1.48,2574.23,65.54,4.75,48,0,48.0,1135,0,0,83,83,0,214.735,709,25.9,11.69,39.9,11.69,35.9,43.41203351,0.895942695,7.102896992,TOC,,6
2716,1.47,2575.07,64.77,4.75,48,0,48.0,1135,0,0,83,83,0,214.868,710,26.9,11.69,39.917,11.69,35.9,43.41203351,0.885416667,7.18624795,TOC,,6
2719,1.47,2577.64,64.43,4.79,60,0,60.0,1135,0,0,83,82,0,214.843,708,26.38,11.69,39.946,11.69,36,54.72201066,0.704615048,9.090744845,TOC,,6
2720,1.46,2578.49,55.79,4.7,76,0,76.0,1133,0,0,83,83,0,214.858,710,25.79,11.69,39.958,11.69,36,68.01218583,0.481679099,13.02268984,TOC,,6
2721,1.46,2579.35,53.04,4.67,76,0,76.0,1134,0,0,83,83,0,214.765,708,25.8,11.69,39.967,11.69,36.1,67.5780655,0.457936179,13.60785003,TOC,,6
2722,1.46,2580.2,53.34,4.67,76,0,76.0,1134,0,0,83,82,0,214.76,707,25.84,11.69,39.956,11.69,36.2,67.5780655,0.460526316,13.53163975,TOC,,6
2723,1.45,2581.06,53.27,4.66,76,0,76.0,1135,0,0,83,82,0,214.864,707,26.94,11.69,39.916,11.69,36.3,67.43335872,0.459921951,13.52006031,TOC,,6
2724,1.44,2581.91,49.94,4.66,76,0,76.0,1135,0,0,83,82,0,214.748,708,26.78,11.69,39.94,11.69,36,67.43335872,0.431171433,14.4173646,TOC,,6
2725,1.45,2582.77,53.39,4.65,76,0,76.0,1136,0,0,83,82,0,214.641,707,26.76,11.69,39.982,11.69,35.7,67.28865194,0.460958005,13.46097599,TOC,,6
2726,1.45,2583.63,55.57,4.68,75,0,75.0,1119,0,0,83,83,0,216.491,708,25.31,11.69,39.997,11.69,35.8,66.83168317,0.486176728,12.84769527,TOC,,6
2727,1.45,2584.48,55.04,4.67,76,0,76.0,1110,0,0,83,83,0,229.865,708,26.08,11.7,40,11.69,36,67.5780655,0.475203757,13.11507908,TOC,,6
2728,1.44,2585.34,54.49,4.68,76,0,76.0,1170,0,0,83,82,0,236.187,707,27.22,11.69,40.011,11.69,36.9,67.72277228,0.470455173,13.27472767,TOC,,6
2729,1.45,2586.19,54.39,4.67,76,0,76.0,1192,0,0,83,82,0,235.832,708,26.57,11.69,40.045,11.69,37,67.5780655,0.469591794,13.27112941,TOC,,6
2730,1.45,2587.05,54.4,4.67,75,0,75.0,1140,0,0,83,82,0,235.61,708,26.48,11.69,40.058,11.69,37,66.68888043,0.475940507,13.09486575,TOC,,6
