     Depth,      DCAV,    UCS-CA,    UCS-BD,        GR,      P40H,      WOBA,      RPMS,       TQA,      ROPA,       DOC,       MSE
         m,        in,       psi,       psi,      gapi,     ohm.m,      klbm,     1/min,   klbf.ft,       m/h,    in/rev,       ksi
    4797.0,   -999.25,   -999.25,   -999.25,   -999.25,   -999.25,     32.47,       138,     15.99,      1.39,0.00657895,   -999.25
    4798.0,   10.7571,   -999.25,   19555.5,   110.517,   35.0751,      29.5,       141,     15.18,      1.62,0.00750556,   2694.41
    4799.0,    10.523,   -999.25,   7638.36,   98.5531,   32.7733,   -999.25,   -999.25,   -999.25,     82.09,   -999.25,   -999.25
    4800.0,   9.53121,      6271,   9814.93,   71.4828,    43.626,     22.75,        57,      12.8,     50.47,  0.582525,   29.2732
    4801.0,   9.57968,     11213,   16283.1,    128.05,   29.1508,     23.65,        77,     13.19,      2.67, 0.0225202,   780.273
    4802.0,   8.99627,   10916.2,   15549.1,   105.635,   27.3224,     22.29,        78,     14.21,      2.08, 0.0175439,   1079.06
    4803.0,    8.8602,   -999.25,   15737.1,   78.0312,   31.5005,     30.37,        78,     13.91,      1.85, 0.0154064,   1202.82
    4804.0,   9.11864,   6463.43,   18322.7,   113.595,   30.0479,     29.86,        77,     14.48,         5, 0.0427204,   451.552
    4805.0,   8.71498,    3007.9,   19960.1,   128.114,   25.5668,     22.89,        77,     15.43,      4.19, 0.0357997,   574.197
    4806.0,   9.15042,   4231.34,   16847.7,   98.8145,   45.8553,     29.59,        77,     14.31,      2.99, 0.0252193,    755.93
    4807.0,   8.63357,   -999.25,   19156.3,   139.953,   23.9852,     28.42,        77,     15.23,      3.18, 0.0271702,   746.761
    4808.0,    8.8817,   2996.26,   13464.3,   80.5723,   41.2171,     29.56,        77,     15.41,      5.05, 0.0431476,   475.795
    4809.0,   8.86187,   2778.52,   15802.7,   88.5701,   42.9087,     31.34,        77,     15.39,      4.95, 0.0422932,   484.778
    4810.0,   9.10311,   -999.25,     20082,   126.602,   37.8299,      31.9,        77,     15.06,      4.88, 0.0416951,   481.187
    4811.0,   8.67805,   2430.24,   13856.2,   158.268,   22.9364,     33.52,        77,     15.05,      4.03, 0.0344327,   582.292
    4812.0,    8.6852,   -999.25,     13286,   148.699,   21.6625,     23.19,        77,      15.3,      3.23, 0.0275974,   738.581
    4813.0,   8.68638,   2643.63,   16883.8,   122.862,   34.3981,     30.16,        77,     15.25,      4.68, 0.0399863,   508.081
    4814.0,   8.96648,   6913.22,     20082,    110.07,   42.2961,     35.63,        77,     14.57,      3.25, 0.0274123,   708.091
    4815.0,   8.60408,   -999.25,     20082,   142.265,   25.1845,     36.64,        78,     15.73,      3.41, 0.0291353,   719.256
    4816.0,   8.56544,   -999.25,     20082,   134.228,   33.6837,     37.52,        77,     14.21,      4.43, 0.0378503,   500.149
    4817.0,   8.87134,   -999.25,     20082,   121.227,   34.1334,     32.37,        77,     16.18,      6.75, 0.0576726,   373.752
    4818.0,   8.70974,   -999.25,     20082,   116.897,    37.052,     34.46,        78,     14.78,      3.17, 0.0267375,   736.424
    4819.0,   8.87559,   4078.59,   13856.2,   127.057,   34.0006,     29.49,        77,     14.37,      3.34, 0.0281714,   679.553
