     Depth,      ROP5,      STOR,      SWOB,       RPM,      CRPM,     STICK,      SPPA,      TFLO,      DHAP,     VIB_X,   VIB_LAT,    SHKRSK,      SHKL,    P40H#1,      GR#1,       MSE,       DOC
         m,       m/h,      kN.m,      1000,     c/min,     c/min,     c/min,       psi,   gal/min,       psi,        gn,        gn,          ,          ,     ohm.m,      gAPI,       ksi,    in/rev
     700.0,   -999.25,   -999.25,   -999.25,   -999.25,   -999.25,   -999.25,   -999.25,   -999.25,   -999.25,   -999.25,   -999.25,   -999.25,   -999.25,   -999.25,   -999.25,      -999,      -999
     700.1,   23.1763,   6.18007,   3.42048,        20,   -999.25,   -999.25,   1352.22,   757.837,      1019,   0.12492,   0.74949,   -999.25,   -999.25,   -999.25,     37.54,   7.53307,  0.760377
     700.3,   23.1979,   1.58815,   5.79339,        20,   -999.25,   -999.25,   1346.36,    740.22,   -999.25,   -999.25,   -999.25,   -999.25,   -999.25,   -999.25,   35.3127,   1.95449,  0.761087
     700.4,   23.8909,   8.48189,   6.68176,        20,   -999.25,   -999.25,   1356.36,   740.213,   -999.25,   -999.25,   -999.25,   -999.25,   -999.25,   -999.25,   33.0871,   10.0385,  0.783821
     700.6,   22.2288,   2.99856,   4.54172,        20,        21,        45,    1351.6,    757.83,      1020,   -999.25,   -999.25,         0,         0,   -999.25,   30.8598,   3.82253,  0.729291
     700.7,   21.4084,   5.36714,   2.98107,        20,   -999.25,   -999.25,   1324.36,   740.227,   -999.25,   0.12492,   0.74949,   -999.25,   -999.25,   0.42447,   28.6342,   7.08144,  0.702376
     700.9,   21.3982,   7.42988,   2.66464,        20,   -999.25,   -999.25,   1330.51,   757.837,   -999.25,   -999.25,   -999.25,   -999.25,   -999.25,  0.404963,   26.4069,   9.80161,  0.702042
     701.0,   19.7351,   2.04945,   2.89198,        20,        19,        33,    1321.5,   757.837,   -999.25,   -999.25,   -999.25,         0,         0,  0.385471,   28.5548,   2.94022,  0.647478
     701.2,   19.6741,   3.78134,   4.14551,        20,   -999.25,   -999.25,   1327.36,   757.837,      1021,   0.12492,   0.49966,   -999.25,   -999.25,  0.365979,   30.7027,   5.43667,  0.645476
     701.3,    18.764,   1.42455,   6.06841,   19.0004,   -999.25,   -999.25,   1332.87,   757.837,   -999.25,   -999.25,   -999.25,   -999.25,   -999.25,  0.346472,   32.8524,   2.05895,  0.648005
     701.5,   18.8653,   2.90027,   3.25207,   19.9992,        17,        45,   1328.38,   757.837,   -999.25,   -999.25,   -999.25,         0,   -999.25,   0.32698,   25.0428,   4.34823,  0.618964
     701.6,    18.534,   4.18896,   3.34342,        20,   -999.25,   -999.25,   1356.18,   757.837,      1024,   0.12492,   0.49966,   -999.25,   -999.25,  0.170293,    17.227,   6.38683,  0.608072
     701.8,   18.2991,   5.24617,    6.4946,        20,   -999.25,   -999.25,   1387.35,   740.227,   -999.25,   -999.25,   -999.25,   -999.25,   -999.25,  0.162749,   28.4683,    8.1108,  0.600365
     702.0,   17.1813,   2.80752,   6.30256,        20,        23,        33,   1420.33,   740.213,   -999.25,   0.12492,   -999.25,         0,   -999.25,    0.1552,   26.4077,   4.63376,   0.56369
     702.1,   17.0171,   1.83113,   3.98978,        20,   -999.25,   -999.25,   1424.03,   757.823,   -999.25,   -999.25,   0.49966,   -999.25,   -999.25,  0.246357,   -999.25,   3.05073,  0.558305
     702.3,   17.0879,   6.84487,   3.40189,        20,        22,        18,    1393.6,    740.22,      1025,   -999.25,   -999.25,         0,   -999.25,   -999.25,   -999.25,    11.309,  0.560626
     702.4,   16.0897,   4.40836,    3.9936,        20,   -999.25,   -999.25,   1333.52,   757.823,      1026,   0.12492,   0.49966,   -999.25,   -999.25,   -999.25,   -999.25,    7.7422,  0.527878
     702.6,   16.6272,   3.47126,   3.42741,        20,        20,   -999.25,   1334.45,   757.837,      1028,   -999.25,   -999.25,   -999.25,   -999.25,   -999.25,   -999.25,   5.90095,  0.545511
     702.7,   15.5149,   2.38667,   4.99865,        20,   -999.25,        33,   1341.57,   757.837,    1027.5,   0.12492,   -999.25,         0,   -999.25,   -999.25,   -999.25,   4.35835,  0.509021
     702.9,   15.4629,   4.40641,   3.16692,        20,   -999.25,   -999.25,   1323.65,   740.213,      1027,   -999.25,   0.49966,   -999.25,   -999.25,   -999.25,   -999.25,   8.04834,  0.507315
