MD,Interval__unidentified,Drilling_hour__unidentified,Drilling_time__unidentified,ROP,WOB,BIT_RPM,TORQUE,Si,Shale,Dolomite,Limestone,BIT_DIAMETER,DOC,Mu,MSE,cluster
m,m,h,min,m/h,klbs,rpm,kLbf.ft,%,%,%,%,in,in/rev,,ksi,
5315.8,4.8,1.7,3.4,2.8,0.0045899999999999,263.065,4.60238688,66.87286148,24.30324084,0.186007292,8.637890389,8.5,0.0069840964527144,4246.723764705883,2872.73481420971,0
5316.0,5.0,1.8,5.3,2.78,0.0045292499999999,263.065,4.52863068,68.27759421,24.18342583,0.193131691,7.345848277,8.5,0.0069342100494807,4234.714992548436,2847.033236637366,0
5316.2,5.2,1.9,5.4,2.75,0.0069615,180.418,3.71731248,68.27759421,24.18342583,0.193131691,7.345848277,8.5,0.0100015681177413,2261.568868778281,1620.2810559574625,0
5316.4,5.4,2.0,4.0,2.76,0.00475875,267.065,4.46962572,68.27759421,24.18342583,0.193131691,7.345848277,8.5,0.00678121281336,3977.9731063829786,2873.337046865082,0
5316.6,5.6,2.0,1.6,2.82,0.0040545,268.065,4.417996380000001,68.27759421,24.18342583,0.193131691,7.345848277,8.5,0.0069027836532184,4614.999156492787,2790.123170423504,0
5316.8,5.8,2.1,4.6,2.82,0.007011,267.065,4.76465052,68.27759421,24.18342583,0.193131691,7.345848277,8.5,0.0069286304832156,2878.2907317073173,2997.8378885802176,0
5317.0,6.0,2.1,4.0,2.82,0.006372,267.065,4.6097625,75.31775705,18.67023467,0.025281197,5.986727088,8.5,0.0069286304832156,3063.983050847458,2900.382590581298,0
5317.2,6.2,2.2,3.1,2.85,0.00682875,267.065,4.6097625,75.31775705,18.67023467,0.025281197,5.986727088,8.5,0.0070023393181435,2859.0444810543663,2869.8552592323194,0
5317.4,6.4,2.2,3.5,2.86,0.00766575,267.065,4.71302118,75.31775705,18.67023467,0.025281197,5.986727088,8.5,0.0070269089297861,2603.9240622248312,2923.884859410109,0
