Depth,Interval,Drilling_hour,Drilling_time,ROP,WOB,RPM_Total,TQ_Table,Si,Shale,Dolomite,Limestone
m,m,h,min,m/h,KN,rpm,KN.m,%,%,%,%
5311.2,0.2,0.1,6.2,1.96,9.93,45.323,0.63,51.18901969,18.35180089,3.693264843,24.5293876
5311.4,0.41,0.2,5.6,1.99,14.77,273.065,6.02,51.18901969,18.35180089,3.693264843,24.5293876
5311.6,0.6,0.3,5.8,1.99,12.46,273.065,5.98,51.18901969,18.35180089,3.693264843,24.5293876
5311.8,0.8,0.4,4.5,2.12,9.9,273.065,6.02,51.18901969,18.35180089,3.693264843,24.5293876
5312,1,0.4,4,2.26,13.81,270.065,6.08,53.24393211,17.73741358,4.039583596,22.8118297
5312.2,1.2,0.5,5,2.28,19.59,268.065,6.19,53.24393211,17.73741358,4.039583596,22.8118297
5312.4,1.4,0.6,5.2,2.29,19.63,268.065,6.19,53.24393211,17.73741358,4.039583596,22.8118297
5312.6,1.6,0.7,4.3,2.34,18.77,268.065,6.27,53.24393211,17.73741358,4.039583596,22.8118297
5312.8,1.8,0.8,4.6,2.37,19.96,268.065,6.35,53.24393211,17.73741358,4.039583596,22.8118297
5313,2,0.8,4.3,2.41,19.1,268.065,6.36,62.86031309,30.84837209,0.276234214,6.015080606
5313.2,2.2,0.9,3.6,2.47,20.72,268.208,6.4,62.86031309,30.84837209,0.276234214,6.015080606
5313.4,2.4,1,4,2.51,21.74,268.065,6.63,62.86031309,30.84837209,0.276234214,6.015080606
5313.6,2.6,1,4.1,2.53,19.29,268.065,6.46,62.86031309,30.84837209,0.276234214,6.015080606
5313.8,2.8,1.1,3.8,2.57,20.7,268.065,6.44,62.86031309,30.84837209,0.276234214,6.015080606
5314,3,1.1,3,2.63,19.26,268.208,6.48,67.29792241,26.89711671,0.199534287,5.605426594
5314.2,3.2,1.2,4,2.65,21.79,267.065,6.65,67.29792241,26.89711671,0.199534287,5.605426594
5314.4,3.4,1.3,3.8,2.68,19.37,268.065,6.53,67.29792241,26.89711671,0.199534287,5.605426594
5314.6,3.6,1.3,4.8,2.67,18.37,268.065,6.33,67.29792241,26.89711671,0.199534287,5.605426594
5314.8,3.8,1.4,4.4,2.67,17.85,268.065,6.26,67.29792241,26.89711671,0.199534287,5.605426594
5315,4,1.5,3.6,2.7,20.72,268.065,6.52,66.87286148,24.30324084,0.186007292,8.637890389
5315.2,4.2,1.5,3.2,2.73,19.16,265.065,6.33,66.87286148,24.30324084,0.186007292,8.637890389
5315.4,4.4,1.6,4.2,2.74,19.84,263.065,6.31,66.87286148,24.30324084,0.186007292,8.637890389
5315.6,4.6,1.7,3,2.78,18.27,263.065,6.33,66.87286148,24.30324084,0.186007292,8.637890389
5315.8,4.8,1.7,3.4,2.8,20.4,263.065,6.24,66.87286148,24.30324084,0.186007292,8.637890389
5316,5,1.8,5.3,2.78,20.13,263.065,6.14,68.27759421,24.18342583,0.193131691,7.345848277
5316.2,5.2,1.9,5.4,2.75,30.94,180.418,5.04,68.27759421,24.18342583,0.193131691,7.345848277
5316.4,5.4,2,4,2.76,21.15,267.065,6.06,68.27759421,24.18342583,0.193131691,7.345848277
5316.6,5.6,2,1.6,2.82,18.02,268.065,5.99,68.27759421,24.18342583,0.193131691,7.345848277
5316.8,5.8,2.1,4.6,2.82,31.16,267.065,6.46,68.27759421,24.18342583,0.193131691,7.345848277
5317,6,2.1,4,2.82,28.32,267.065,6.25,75.31775705,18.67023467,0.025281197,5.986727088
5317.2,6.2,2.2,3.1,2.85,30.35,267.065,6.25,75.31775705,18.67023467,0.025281197,5.986727088
5317.4,6.4,2.2,3.5,2.86,34.07,267.065,6.39,75.31775705,18.67023467,0.025281197,5.986727088
5317.6,6.6,2.3,4.1,2.86,32.23,267.065,6.29,75.31775705,18.67023467,0.025281197,5.986727088
5317.8,6.8,2.4,4.3,2.86,35.27,267.065,6.43,75.31775705,18.67023467,0.025281197,5.986727088
5318,7,2.5,4.7,2.85,29.88,267.065,6.25,72.39004652,21.78288014,0.008687188,5.818386154
5318.2,7.2,2.5,3.2,2.87,27.37,268.065,6.14,72.39004652,21.78288014,0.008687188,5.818386154
5318.4,7.4,2.6,4.7,2.86,33.78,268.065,6.21,72.39004652,21.78288014,0.008687188,5.818386154
5318.6,7.6,2.7,6.6,2.82,31.67,268.065,6.05,72.39004652,21.78288014,0.008687188,5.818386154
