BITRPM_AVG__rpm,Comments__TOC/TOP,DOUT_AVG__ppg,SURFRPM_AVG__rpm,FLOWIN_AVG__gal/min,SPP_AVG__Psi,MSE__ksi,SPM02_AVG__Stk/min,well,DIN_AVG__ppg,FLOWOUTP_AVG__%,TIN_AVG__C,WOB_AVG__tf,TOUT_AVG__C,SPM01_AVG__Stk/min,ROPA_AVG__m/h,CEMENTP_AVG__Psi,DOC__in/rev,DEPTVD__m,CHKP_AVG__Psi,PITACTIVE_AVG__bbl,MOTORRPM_AVG__rpm,HP__hp,SPM03_AVG__Stk/min,TORQ_AVG__kLbf.ft,DEPMD__ft
48,TOC,11.69,48,510,689,3.822969471,59,G7,11.69,24.11,37.954,12.31,34.7,60,141.86,0,1.939249781,2533.49,0,227.124,0,44.50875857,0,4.87,2667
48,TOC,11.69,48,511,685,5.229530215,59,G7,11.69,23.78,37.963,2.51,34.7,60,90.56,0,1.237970254,2534.33,0,227.451,0,43.68621478,0,4.78,2668
48,TOC,11.69,48,510,689,5.627672211,59,G7,11.69,24.61,37.948,3.21,34.8,60,80.75,0,1.103865923,2535.19,0,227.216,0,41.76694593,0,4.57,2669
48,TOC,11.69,48,511,685,5.121710058,59,G7,11.69,23.37,37.923,3.1,34.7,60,89.63,0,1.225256999,2536.04,0,227.619,0,42.13252094,0,4.61,2670
48,TOC,11.69,48,514,676,8.200857921,59,G7,11.69,24.95,38.025,3.68,34.7,61,54.78,0,0.748851706,2536.87,0,228.554,0,41.49276466,0,4.54,2671
48,TOC,11.69,48,515,676,5.609034156,59,G7,11.69,22.55,38.495,0.96,34.6,61,80.43,0,1.09949147,2537.72,0,229.125,0,42.13252094,0,4.61,2672
48,TOC,11.69,48,514,676,5.833981857,59,G7,11.69,23.95,38.816,0.97,34.6,61,78.32,0,1.070647419,2538.6,0,229.746,0,42.68088347,0,4.67,2673
48,TOC,11.69,48,511,674,5.346598463,59,G7,11.69,24.37,39.224,1.31,34.5,60,84.81,0,1.159366798,2539.42,0,229.838,0,42.2239147,0,4.62,2674
48,TOC,11.69,48,513,673,5.864997113,59,G7,11.68,24.01,39.862,1.32,34.4,61,78.59,0,1.074338364,2540.28,0,230.724,0,42.95506474,0,4.7,2675
48,TOC,11.69,48,515,674,5.139025284,59,G7,11.69,25,40.066,1.31,34.5,61,89.99,0,1.230178259,2541.1,0,231.258,0,43.04645849,0,4.71,2676
48,TOC,11.69,48,506,678,5.43085367,58,G7,11.69,25.45,40.055,1.29,34.5,60,83.65,0,1.143509405,2541.94,0,231.715,0,42.31530845,0,4.63,2677
