Depth,Interval,Drilling_time,Drilling_hour,ROP,WOB,RPM_Table,RPM_Motor,RPM_Total,TQ_Table,PP,Density,CH%,C1,C2,C3
5311.2,0.2,0.1,6.2,1.96,9.93,8,37.323,45.323,0.63,2,1.39,0.019,0.0115,0.0015,0.006
5311.4,0.41,0.2,5.6,1.99,14.77,65,208.065,273.065,6.02,15,1.45,0.0299,0.0164,0.0016,0.0119
5311.6,0.6,0.3,5.8,1.99,12.46,65,208.065,273.065,5.98,15,1.45,0.0235,0.0138,0.0013,0.0084
5311.8,0.8,0.4,4.5,2.12,9.9,65,208.065,273.065,6.02,15,1.45,0.02,0.0124,0.001,0.0066
5312,1,0.4,4,2.26,13.81,62,208.065,270.065,6.08,15,1.45,0.0212,0.0135,0.0015,0.0062
5312.2,1.2,0.5,5,2.28,19.59,60,208.065,268.065,6.19,15,1.45,0.0211,0.0144,0.0013,0.0054
5312.4,1.4,0.6,5.2,2.29,19.63,60,208.065,268.065,6.19,15,1.45,0.0207,0.0138,0.0014,0.0055
5312.6,1.6,0.7,4.3,2.34,18.77,60,208.065,268.065,6.27,15,1.45,0.0195,0.0133,0.0013,0.0049
5312.8,1.8,0.8,4.6,2.37,19.96,60,208.065,268.065,6.35,15,1.44,0.0186,0.0129,0.0015,0.0042
5313,2,0.8,4.3,2.41,19.1,60,208.065,268.065,6.36,15,1.44,0.0194,0.0136,0.0014,0.0044
5313.2,2.2,0.9,3.6,2.47,20.72,60,208.208,268.208,6.4,15,1.44,0.0203,0.0142,0.0012,0.0049
5313.4,2.4,1,4,2.51,21.74,60,208.065,268.065,6.63,15,1.44,0.0203,0.0139,0.0013,0.0051
5313.6,2.6,1,4.1,2.53,19.29,60,208.065,268.065,6.46,15,1.44,0.0213,0.0144,0.0014,0.0055
5313.8,2.8,1.1,3.8,2.57,20.7,60,208.065,268.065,6.44,15,1.44,0.0152,0.0103,0.0015,0.0034
5314,3,1.1,3,2.63,19.26,60,208.208,268.208,6.48,15,1.44,0.0163,0.0112,0.0013,0.0038
5314.2,3.2,1.2,4,2.65,21.79,59,208.065,267.065,6.65,15,1.44,0.016,0.011,0.0013,0.0037
5314.4,3.4,1.3,3.8,2.68,19.37,60,208.065,268.065,6.53,15,1.44,0.0167,0.0114,0.0014,0.0039
5314.6,3.6,1.3,4.8,2.67,18.37,60,208.065,268.065,6.33,15,1.45,0.0177,0.0121,0.0012,0.0044
5314.8,3.8,1.4,4.4,2.67,17.85,60,208.065,268.065,6.26,15,1.45,0.0168,0.0115,0.0012,0.0041
5315,4,1.5,3.6,2.7,20.72,60,208.065,268.065,6.52,15,1.45,0.0163,0.0113,0.0011,0.0039
5315.2,4.2,1.5,3.2,2.73,19.16,57,208.065,265.065,6.33,15,1.44,0.0212,0.0142,0.0015,0.0055
5315.4,4.4,1.6,4.2,2.74,19.84,55,208.065,263.065,6.31,15,1.44,0.022,0.0144,0.0015,0.0061
5315.6,4.6,1.7,3,2.78,18.27,55,208.065,263.065,6.33,16,1.44,0.0225,0.0148,0.0015,0.0062
5315.8,4.8,1.7,3.4,2.8,20.4,55,208.065,263.065,6.24,16,1.44,0.0249,0.0159,0.0017,0.0073
5316,5,1.8,5.3,2.78,20.13,55,208.065,263.065,6.14,16,1.44,0.0277,0.0172,0.0018,0.0087
5316.2,5.2,1.9,5.4,2.75,30.94,48,132.418,180.418,5.04,14,1.43,0.0379,0.0225,0.0021,0.0133
5316.4,5.4,2,4,2.76,21.15,59,208.065,267.065,6.06,16,1.44,0.0157,0.0102,0.0016,0.0039
5316.6,5.6,2,1.6,2.82,18.02,60,208.065,268.065,5.99,16,1.44,0.0206,0.0129,0.0014,0.0063
5316.8,5.8,2.1,4.6,2.82,31.16,59,208.065,267.065,6.46,16,1.43,0.0235,0.0146,0.0016,0.0073
5317,6,2.1,4,2.82,28.32,59,208.065,267.065,6.25,16,1.43,0.0226,0.0144,0.0017,0.0065
5317.2,6.2,2.2,3.1,2.85,30.35,59,208.065,267.065,6.25,16,1.43,0.0144,0.0101,0.0014,0.0029
5317.4,6.4,2.2,3.5,2.86,34.07,59,208.065,267.065,6.39,16,1.43,0.0207,0.0135,0.0016,0.0056
5317.6,6.6,2.3,4.1,2.86,32.23,59,208.065,267.065,6.29,16,1.43,0.0167,0.0112,0.0012,0.0043
5317.8,6.8,2.4,4.3,2.86,35.27,59,208.065,267.065,6.43,16,1.43,0.0171,0.0115,0.0012,0.0044
5318,7,2.5,4.7,2.85,29.88,59,208.065,267.065,6.25,16,1.43,0.0206,0.0136,0.0015,0.0055
5318.2,7.2,2.5,3.2,2.87,27.37,60,208.065,268.065,6.14,16,1.42,0.0198,0.0132,0.0015,0.0051
5318.4,7.4,2.6,4.7,2.86,33.78,60,208.065,268.065,6.21,16,1.42,0.0174,0.012,0.0012,0.0042
5318.6,7.6,2.7,6.6,2.82,31.67,60,208.065,268.065,6.05,16,1.42,0.018,0.0122,0.0013,0.0045
5318.8,7.8,2.7,2.9,2.84,33.56,60,208.065,268.065,6.07,16,1.42,0.0164,0.0111,0.0015,0.0038
5319,8,2.8,4.5,2.84,35.75,59,208.065,267.065,6.38,16,1.43,0.0173,0.0117,0.0012,0.0044
5319.2,8.2,2.9,4.6,2.83,30.75,59,208.065,267.065,6.26,16,1.44,0.0176,0.0119,0.0012,0.0045
5319.4,8.4,2.9,3.2,2.85,32.09,59,208.065,267.065,6.29,16,1.44,0.0185,0.0125,0.0013,0.0047
5319.6,8.6,3,4,2.85,33.52,60,208.065,268.065,6.3,16,1.44,0.0201,0.0134,0.0014,0.0053
5319.8,8.8,3.1,3.2,2.87,35.86,59,208.065,267.065,6.31,16,1.44,0.021,0.0139,0.0014,0.0057
5320,9,3.2,5.1,2.86,36.41,59,208.065,267.065,6.36,16,1.43,0.0217,0.0143,0.0015,0.0059
5320.2,9.2,3.3,6.4,2.82,32.07,60,208.065,268.065,6.03,16,1.44,0.0221,0.0145,0.0015,0.0061
5320.4,9.4,3.4,7.5,2.78,14.37,35,151.58,186.58,3.52,11,1.43,0.0218,0.0141,0.0014,0.0063
